Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snake:Head_M1,,,Snake:M2,,,Snake:M3,,,Snake:M4,,,Snake:M5,,,Snake:M6,,,Snake:M7,,,Snake:M8,,,Snake:M9,,,Snake:Vent_M10,,,Branch:OriginEnd,,,Branch:TargetEnd,,,Branch:OriginOther,,,Branch:TargetOther,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
2085,0,-174.937,45.5554,139.252,-239.685,42.9506,143.562,-304.168,40.282,147.471,-367.815,26.0889,138.88,-414.186,40.8379,154.183,-475.289,26.7459,145.457,-543.916,31.4545,152.664,,,,-696.225,22.8903,150.943,-778.333,20.9581,152.715,-193.606,62.2719,136.094,324.626,82.7149,117.383,-867.943,36.7016,156.62,1064.68,108.191,129.095
2086,0,-174.761,45.3727,139.204,-239.374,43.0549,143.551,-303.787,40.4659,147.491,-367.464,26.2318,138.929,-413.987,40.2195,154.145,-475.011,27.3781,145.396,-543.292,31.2853,152.741,,,,-695.462,21.8797,150.582,-777.469,21.2505,152.54,-193.601,62.2027,136.129,324.647,82.7275,117.376,-867.933,36.694,156.607,1064.72,108.219,129.11
2087,0,-174.061,44.696,138.739,-239.066,43.0655,143.385,-303.563,40.5693,147.474,-367.348,26.6729,139.051,-413.557,40.8545,153.804,-474.51,27.195,145.38,-542.713,31.7709,152.786,,,,-694.785,21.0499,150.537,-777.126,21.2703,152.746,-193.605,62.2667,136.095,324.621,82.7165,117.393,-867.942,36.7132,156.607,1064.7,108.174,129.123
2088,0,-173.643,44.2314,138.662,-238.823,42.779,143.446,-303.386,40.4394,147.654,-367.127,26.8157,139.118,-413.356,41.1654,153.809,-474.048,26.4559,145.204,-542.453,32.465,152.824,,,,-694.851,21.9366,150.596,-776.89,21.7532,152.767,-193.633,62.285,136.095,324.627,82.7136,117.382,-867.943,36.7032,156.62,1064.7,108.173,129.096
2089,0,-173.373,44.0072,138.765,-238.656,42.4484,143.511,-302.941,40.0998,147.798,-366.794,26.936,139.16,-413.319,41.0154,153.888,-473.657,26.2711,145.213,-542.127,32.8374,152.94,,,,-694.594,22.2912,150.547,-776.028,22.1154,152.686,-193.633,62.2838,136.095,324.642,82.7175,117.374,-867.943,36.7018,156.62,1064.7,108.174,129.096
2090,0,-173.758,43.9361,139.754,-238.599,42.2604,143.529,-302.942,40.4911,147.698,-366.526,27.0116,139.216,-413.052,40.6333,153.906,-473.377,26.5035,145.04,-541.586,32.7285,153.212,-616.287,32.9484,157.748,-694.147,22.4625,150.476,-775.453,21.6074,152.706,-193.633,62.2826,136.095,324.659,82.717,117.386,-867.944,36.693,156.621,1064.68,108.191,129.095
2091,0,-173.704,43.7103,139.885,-238.588,42.118,143.529,-302.864,40.6262,147.452,-366.282,27.0886,139.248,-412.689,40.4482,153.89,-472.987,27.1939,145.088,-541.548,32.2546,152.931,,,,-693.351,22.4075,150.427,-775.317,21.5488,152.642,-193.632,62.2826,136.095,324.638,82.7162,117.405,-867.939,36.7081,156.639,1064.69,108.164,129.089
2092,0,-173.568,43.403,139.99,-238.609,42.3984,143.642,-302.649,40.56,147.376,-365.908,26.7323,139.599,-411.842,40.6902,153.795,-472.828,27.3554,144.982,-540.787,32.4486,153.339,,,,-693.136,22.0612,150.454,-774.743,22.217,152.526,-193.633,62.2826,136.095,324.641,82.7179,117.375,-867.949,36.7198,156.64,1064.67,108.178,129.087
2093,0,-173.398,43.1667,140.192,-238.51,42.6225,143.61,-302.479,40.4405,147.426,-365.874,26.7311,139.107,-411.535,41.0165,153.716,-472.281,26.7595,144.777,-540.426,32.6231,153.527,,,,-692.864,22.0417,150.425,-774.114,22.0365,152.752,-193.633,62.2827,136.095,324.657,82.7067,117.368,-867.939,36.7419,156.602,1064.7,108.174,129.096
2094,0,-173.253,42.82,140.872,-238.446,42.6391,143.621,-302.199,41.0769,147.609,-365.853,26.8595,138.925,-411.354,41.3285,153.567,-471.89,26.1451,144.726,-540.101,32.7793,153.534,,,,-692.252,22.4722,150.296,-773.689,21.8208,152.975,-193.633,62.2826,136.095,324.658,82.707,117.372,-867.939,36.7133,156.627,1064.7,108.175,129.096
