Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snake_88:Head_M1,,,Snake_88:M2,,,Snake_88:M3,,,Snake_88:M4,,,Snake_88:M5,,,Snake_88:M6,,,Snake_88:M7,,,Snake_88:M8,,,Snake_88:M9,,,Snake_88:Vent_M10,,,branch:Origin_End,,,branch:Target_End,,,branch:Origin_Other,,,branch:Target_Other,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
63,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.118,-3.10954,273.004,221.157,27.7676,279.613,,,,617.021,58.3562,293.222
64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.131,-3.22347,273.032,221.15,27.7737,279.597,,,,617.021,58.3562,293.222
65,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.146,-3.28953,273.035,221.136,27.7971,279.626,,,,617.021,58.3562,293.222
66,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.181,-3.36607,273.061,221.162,27.8048,279.589,,,,617.013,58.3393,293.22
67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.206,-3.39059,273.104,221.148,27.8264,279.589,,,,617.021,58.3559,293.222
68,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.224,-3.45946,273.115,221.163,27.7814,279.605,,,,617.034,58.3363,293.223
69,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.257,-3.4825,273.138,221.151,27.8214,279.609,,,,617.021,58.3544,293.228
70,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.261,-3.49191,273.154,221.149,27.8303,279.62,,,,617.021,58.3563,293.222
71,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.279,-3.50521,273.193,221.171,27.7881,279.644,,,,617.021,58.3547,293.228
72,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.293,-3.50621,273.192,221.163,27.8052,279.606,,,,617.021,58.3546,293.228
73,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.318,-3.53359,273.202,221.16,27.7827,279.618,,,,617.021,58.3546,293.228
74,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.314,-3.57769,273.158,221.146,27.8241,279.644,,,,617.024,58.3608,293.23
75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.264,-3.58335,273.144,221.161,27.7846,279.628,,,,617.024,58.3608,293.23
76,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.23,-3.65589,273.104,221.167,27.789,279.632,,,,617.024,58.3608,293.23
77,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.183,-3.69786,273.087,221.177,27.7839,279.608,,,,617.021,58.3562,293.222
78,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.158,-3.78252,273.044,221.146,27.8169,279.628,,,,617.021,58.3561,293.222
79,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.136,-3.87747,273.054,221.151,27.8279,279.632,,,,617.021,58.3562,293.222
80,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.102,-3.97114,273.043,221.154,27.8247,279.606,,,,617.022,58.3579,293.215
81,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.102,-4.00146,273.032,221.151,27.8312,279.595,,,,617.021,58.3562,293.222
82,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.096,-4.06644,273.047,221.159,27.7932,279.597,,,,617.021,58.3561,293.222
83,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.071,-4.10439,273.031,221.145,27.8344,279.622,,,,617.021,58.3562,293.222
84,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.043,-4.18534,273.033,221.154,27.8253,279.607,,,,617.021,58.3562,293.222
85,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.052,-4.20549,273.04,221.144,27.8353,279.622,,,,617.021,58.3562,293.222
86,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.037,-4.25606,273.025,221.16,27.7946,279.607,,,,617.015,58.3394,293.221
87,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.042,-4.212,273.007,221.166,27.7911,279.604,,,,617.015,58.3392,293.221
88,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.021,-4.19526,273.001,221.144,27.8225,279.615,,,,617.015,58.3378,293.227
89,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.005,-4.10589,273.001,221.144,27.831,279.631,,,,617.015,58.3378,293.227
90,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.004,-4.04722,272.993,221.15,27.8264,279.604,,,,617.017,58.343,293.228
91,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.011,-3.92312,272.996,221.144,27.8255,279.64,,,,617.021,58.3546,293.228
92,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-141.986,-3.81608,272.964,221.15,27.8287,279.629,,,,617.034,58.3347,293.229
93,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.032,-3.70292,272.98,221.144,27.8182,279.624,,,,617.035,58.3329,293.236
94,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.047,-3.50566,272.95,221.144,27.8178,279.624,,,,617.034,58.3345,293.229
95,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.098,-3.35736,273.022,221.144,27.818,279.624,,,,617.035,58.333,293.236
96,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.126,-3.07852,273.025,221.145,27.8164,279.605,,,,617.035,58.333,293.236
97,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.155,-2.79711,273.028,221.151,27.8218,279.618,,,,617.021,58.3545,293.228
98,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.191,-2.60841,273.014,221.138,27.7851,279.606,,,,617.015,58.3381,293.227
99,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.196,-2.39436,273.011,221.153,27.8206,279.622,,,,617.024,58.3591,293.236
