Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snake_88:Head_M1,,,Snake_88:M2,,,Snake_88:M3,,,Snake_88:M4,,,Snake_88:M5,,,Snake_88:M6,,,Snake_88:M7,,,Snake_88:M8,,,Snake_88:M9,,,Snake_88:Vent_M10,,,branch:OriginEnd,,,branch:TargetEnd,,,branch:OriginOther,,,branch:TargetOther,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
81,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.295,-9.69341,273.322,337.759,26.613,277.249,,,,733.589,54.0512,292.045
82,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.272,-9.65389,273.314,337.776,26.6149,277.248,,,,733.589,54.0501,292.045
83,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.296,-9.68808,273.321,337.784,26.6132,277.234,,,,733.589,54.0613,292.045
84,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.297,-9.69011,273.32,337.777,26.6136,277.248,,,,733.589,54.0616,292.045
85,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.322,-9.62832,273.314,337.769,26.6202,277.239,,,,733.59,54.0751,292.044
86,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.274,-9.64308,273.313,337.759,26.6215,277.239,,,,733.59,54.0751,292.043
87,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.27,-9.65884,273.316,337.768,26.5944,277.24,,,,733.589,54.0616,292.045
88,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.297,-9.59355,273.308,337.777,26.6196,277.238,,,,733.59,54.0749,292.044
89,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.302,-9.55728,273.305,337.777,26.6142,277.248,,,,733.6,54.056,292.035
90,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.301,-9.55692,273.305,337.759,26.6141,277.249,,,,733.603,54.0604,292.046
91,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.274,-9.62566,273.313,337.783,26.6132,277.234,,,,733.588,54.0489,292.045
92,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.326,-9.31435,273.318,337.769,26.6132,277.249,,,,733.601,54.0481,292.046
93,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.308,-9.51338,273.302,337.769,26.5868,277.239,,,,733.604,54.0421,292.057
94,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.326,-9.315,273.317,337.758,26.5854,277.226,,,,733.605,54.0529,292.056
95,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.308,-9.49991,273.301,337.769,26.5794,277.249,,,,733.591,54.054,292.055
96,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.301,-9.54713,273.305,337.783,26.6103,277.233,,,,733.597,54.0578,292.041
97,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.328,-9.27655,273.343,337.768,26.5789,277.237,,,,733.604,54.0533,292.056
98,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.335,-9.23188,273.339,337.776,26.5779,277.235,,,,733.588,54.0597,292.044
99,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.308,-9.47333,273.327,337.776,26.5784,277.235,,,,733.597,54.0446,292.042
100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.301,-9.54992,273.305,337.776,26.6119,277.236,,,,733.604,54.0419,292.057
101,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.278,-9.47618,273.324,337.784,26.6138,277.234,,,,733.598,54.0575,292.041
102,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.305,-9.49218,273.329,337.776,26.6126,277.236,,,,733.591,54.0672,292.053
103,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.329,-9.26978,273.342,337.766,26.6135,277.235,,,,733.591,54.0542,292.055
104,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.334,-9.23487,273.339,337.784,26.62,277.224,,,,733.604,54.0421,292.057
105,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.308,-9.47441,273.327,337.77,26.6184,277.252,,,,733.603,54.0495,292.047
106,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.273,-9.60704,273.34,337.785,26.5982,277.229,,,,733.589,54.0613,292.045
107,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.299,-9.54372,273.333,337.777,26.6198,277.238,,,,733.589,54.0508,292.045
108,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.303,-9.52105,273.331,337.779,26.5623,277.241,,,,733.589,54.0503,292.045
109,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.302,-9.52278,273.331,337.786,26.5902,277.227,,,,733.604,54.0532,292.056
110,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.327,-9.55865,273.337,337.779,26.5932,277.241,,,,733.604,54.0744,292.045
111,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.326,-9.56393,273.337,337.777,26.6201,277.238,,,,733.59,54.0755,292.043
112,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.326,-9.5621,273.337,337.777,26.6143,277.248,,,,733.603,54.061,292.046
113,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.352,-9.4696,273.357,337.777,26.6135,277.248,,,,733.591,54.0671,292.054
114,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.355,-9.45413,273.356,337.785,26.5825,277.221,,,,733.605,54.0672,292.055
115,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.354,-9.45931,273.356,337.769,26.612,277.249,,,,733.591,54.0674,292.054
116,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.38,-9.21046,273.367,337.769,26.6138,277.25,,,,733.604,54.0534,292.056
117,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.405,-9.15074,273.378,337.768,26.6179,277.239,,,,733.59,54.0426,292.056
118,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.386,-9.347,273.346,337.786,26.5799,277.259,,,,733.604,54.053,292.056
119,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.405,-9.38595,273.38,337.759,26.6128,277.249,,,,733.605,54.0532,292.056
