Trajectories
150
,,Snake_94:Head_M1,,,Snake_94:M2,,,Snake_94:M3,,,Snake_94:M4,,,Snake_94:M5,,,Snake_94:M6,,,Snake_94:M7,,,Snake_94:M8,,,Snake_94:M9,,,Snake_94:Vent_M10,,,Branch_1:OriginEnd,,,Branch_1:TargetEnd,,,Branch_1:OriginOther,,,Branch_1:TargetOther,,,Branch:OriginEnd,,,Branch:TargetEnd,,,Branch:OriginOther,,,Branch:TargetOther,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
7468,0,-109.488,235.283,540.819,-188.011,236.642,534.075,-267.872,247.908,558.424,-347.25,268.81,554.196,-406.965,224.395,558.414,-477.041,253.507,561.36,-549.092,248.478,563.347,,,,-706.605,249.142,559.292,-788.832,199.311,553.445,-249.153,246.381,538.406,294.47,260.533,533.861,-923.622,221.15,561.293,690.414,278.351,542.849,,,,,,,,,,,,
7469,0,-109.543,235.053,540.968,-187.894,236.299,534.081,-267.91,247.821,558.439,-347.216,268.811,554.246,-405.898,223.018,558.093,,,,,,,,,,-705.952,249.557,559.2,-788.04,199.481,553.486,-249.179,246.356,538.4,294.47,260.534,533.861,-923.61,221.126,561.297,690.426,278.352,542.85,,,,,,,,,,,,
7470,0,-109.539,234.161,541.138,-187.911,235.979,534.068,-267.91,247.762,558.43,-347.142,268.977,554.265,-405.408,222.548,557.934,-476.44,253.193,561.545,,,,,,,-705.406,249.909,559.134,-787.2,199.273,553.76,-249.186,246.348,538.395,294.458,260.516,533.797,-923.61,221.126,561.297,690.426,278.352,542.85,,,,,,,,,,,,
7471,0,-109.594,233.481,541.236,-188.064,235.617,534.066,-267.907,247.696,558.405,-347.104,269.155,554.273,-405.336,222.61,557.929,-476.131,253.005,561.746,,,,,,,-704.312,249.85,558.96,-786.046,199.865,554.143,-249.212,246.322,538.389,294.459,260.518,533.797,-923.595,221.089,561.286,690.426,278.352,542.85,,,,,,,,,,,,
7472,0,-109.589,232.862,541.301,-188.172,235.379,534.095,-267.916,247.68,558.361,-346.953,269.396,554.254,-405.67,223.46,557.904,-475.753,252.772,561.888,-547.959,249.512,563.187,,,,-703.654,250.402,558.908,-785.104,200.129,554.288,-249.238,246.302,538.393,294.451,260.521,533.794,-923.583,221.058,561.282,690.429,278.376,542.848,,,,,,,,,,,,
7473,0,-109.62,232.604,541.439,-188.199,235.118,534.135,-267.935,247.604,558.334,-346.922,269.692,554.237,-405.697,223.821,557.914,,,,-546.258,251.023,563.456,,,,-702.984,250.68,558.775,-784.101,200.388,554.584,-249.24,246.252,538.385,294.47,260.534,533.861,-923.594,221.005,561.279,690.428,278.377,542.848,,,,,,,,,,,,
7474,0,-109.704,231.812,541.708,-188.139,234.902,534.239,-267.943,247.523,558.337,-346.989,270.003,554.191,-405.285,223.368,557.736,,,,-545.476,251.939,563.643,,,,-701.961,250.619,558.596,-783.3,201.022,554.926,-249.272,246.218,538.375,294.452,260.523,533.797,-923.581,220.967,561.277,690.429,278.377,542.848,,,,,,,,,,,,
7475,0,-109.753,231.693,541.759,-188.025,234.681,534.204,-267.955,247.515,558.319,-346.919,269.983,554.092,-404.352,222.348,557.585,,,,-546.567,250.974,563.363,,,,-701.321,251.331,558.568,-782.453,201.148,555.286,-249.275,246.219,538.383,294.47,260.534,533.861,-923.579,220.962,561.27,690.453,278.346,542.85,,,,,,,,,,,,
7476,0,-110.074,231.589,541.635,-188.064,234.533,534.197,-267.983,247.496,558.317,-346.834,270.056,554.069,-403.959,222.104,557.53,-474.597,252.29,562.245,-547.123,250.726,562.922,-615.058,207.235,560.496,-700.595,251.449,558.475,-781.624,201.622,555.602,-249.28,246.215,538.383,294.478,260.565,533.859,-923.578,220.956,561.265,690.429,278.376,542.848,,,,,,,,,,,,
7477,0,-109.951,231.137,541.762,-188.166,234.461,534.171,-267.957,247.466,558.301,-346.699,270.059,554.094,-404.246,223.012,557.692,-474.055,251.865,562.296,,,,-614.336,206.626,560.521,-699.751,251.22,558.331,-780.967,202.307,556.258,-249.278,246.174,538.39,294.478,260.566,533.859,-923.577,220.947,561.259,690.453,278.346,542.85,,,,,,,,,,,,
