Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snake_88:Head_M1,,,Snake_88:M2,,,Snake_88:M3,,,Snake_88:M4,,,Snake_88:M5,,,Snake_88:M6,,,Snake_88:M7,,,Snake_88:M8,,,Snake_88:M9,,,Snake_88:Vent_M10,,,Branch:Origin_End,,,Branch:Target_End,,,Branch:Origin_Other,,,Branch:Target_Other,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.613,-243.169,177.467,502.536,-110.972,179.653,-829.763,-382.095,193.254,891.308,-30.3205,191.731
43,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.61,-243.16,177.449,502.536,-110.972,179.653,-829.782,-382.068,193.255,891.307,-30.3174,191.731
44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.62,-243.115,177.45,502.535,-110.97,179.641,-829.763,-382.094,193.254,891.288,-30.3388,191.73
45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.62,-243.113,177.45,502.535,-110.97,179.641,-829.761,-382.104,193.244,891.309,-30.3263,191.709
46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.626,-243.132,177.433,502.536,-110.972,179.653,-829.766,-382.098,193.244,891.308,-30.2914,191.709
47,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.627,-243.133,177.432,502.535,-110.97,179.641,-829.76,-382.112,193.234,891.29,-30.3362,191.688
48,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.627,-243.132,177.433,502.549,-110.962,179.655,-829.759,-382.113,193.234,891.308,-30.2927,191.709
49,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.627,-243.132,177.433,502.535,-110.97,179.641,-829.773,-382.092,193.235,891.309,-30.3159,191.689
50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.627,-243.132,177.433,502.536,-110.976,179.64,-829.76,-382.112,193.234,891.29,-30.3462,191.708
51,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.647,-243.15,177.45,502.52,-110.975,179.625,-829.759,-382.113,193.234,891.31,-30.3107,191.669
52,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.627,-243.133,177.433,502.535,-110.974,179.628,-829.764,-382.103,193.227,891.289,-30.3367,191.663
53,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.601,-243.098,177.435,502.523,-110.98,179.639,-829.761,-382.104,193.244,891.345,-30.3518,191.686
54,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.62,-243.115,177.452,502.535,-110.97,179.641,-829.754,-382.069,193.253,891.345,-30.3451,191.642
55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.584,-243.126,177.451,502.535,-110.97,179.641,-829.768,-382.085,193.247,891.344,-30.3442,191.641
56,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.594,-243.081,177.452,502.535,-110.97,179.641,-829.759,-382.06,193.246,891.345,-30.3519,191.684
57,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.584,-243.124,177.451,502.535,-110.97,179.641,-829.763,-382.094,193.254,891.345,-30.3521,191.686
58,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.584,-243.127,177.451,502.535,-110.97,179.641,-829.768,-382.087,193.247,891.345,-30.3521,191.684
59,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.584,-243.126,177.451,502.535,-110.97,179.641,-829.749,-382.116,193.253,891.291,-30.3387,191.688
60,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.584,-243.126,177.451,502.535,-110.97,179.641,-829.749,-382.117,193.253,891.29,-30.3376,191.688
61,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.584,-243.126,177.451,502.523,-110.982,179.651,-829.767,-382.089,193.254,891.309,-30.311,191.645
62,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.584,-243.126,177.451,502.536,-110.972,179.653,-829.768,-382.088,193.254,891.308,-30.31,191.71
63,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.584,-243.126,177.451,502.535,-110.97,179.641,-829.763,-382.095,193.254,891.307,-30.3185,191.731
64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.584,-243.126,177.451,502.523,-110.982,179.651,-829.767,-382.089,193.254,891.308,-30.3189,191.731
65,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.584,-243.126,177.451,502.536,-110.972,179.653,-829.763,-382.098,193.261,891.309,-30.3255,191.709
66,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.584,-243.126,177.451,502.523,-110.982,179.651,-829.767,-382.089,193.254,891.309,-30.3259,191.709
67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.61,-243.159,177.449,502.536,-110.972,179.653,-829.763,-382.095,193.254,891.274,-30.2906,191.7
68,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.61,-243.161,177.448,502.523,-110.982,179.651,-829.761,-382.104,193.244,891.273,-30.2903,191.712
69,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.616,-243.178,177.431,502.536,-110.972,179.653,-829.761,-382.104,193.244,891.252,-30.2853,191.731
70,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.617,-243.178,177.431,502.536,-110.972,179.653,-829.761,-382.104,193.244,891.273,-30.2908,191.712
71,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.616,-243.178,177.431,502.536,-110.972,179.653,-829.759,-382.112,193.234,891.274,-30.2915,191.712
72,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.624,-243.125,177.414,502.536,-110.972,179.653,-829.779,-382.082,193.228,891.274,-30.2833,191.692
73,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.601,-243.098,177.435,502.522,-110.98,179.639,-829.76,-382.111,193.234,891.273,-30.2767,191.647
74,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.616,-243.175,177.431,502.536,-110.972,179.653,-829.76,-382.11,193.227,891.274,-30.2879,191.656
75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.591,-243.146,177.433,502.535,-110.97,179.641,-829.759,-382.112,193.234,891.254,-30.2682,191.625
76,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.616,-243.176,177.431,502.536,-110.972,179.653,-829.761,-382.104,193.244,891.275,-30.2889,191.669
