Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snake_90:Head_M1,,,Snake_90:M2,,,Snake_90:M3,,,Snake_90:M4,,,Snake_90:M5,,,Snake_90:M6,,,Snake_90:M7,,,Snake_90:M8,,,Snake_90:M9,,,Snake_90:Vent_M10,,,branch:OriginEnd,,,branch:TargetEnd,,,branch:OriginOther,,,branch:TargetOther,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
8120,0,-414.701,7.49157,615.518,-482.245,-4.19984,612.641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8121,0,-413.086,7.47433,615.376,-480.717,-4.26481,612.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8122,0,-411.091,8.82894,615.516,-479.13,-4.20882,611.937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8123,0,-409.614,8.90938,615.238,-477.022,-5.13624,610.552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8124,0,-408.369,8.19165,615.25,-475.574,-5.08746,610.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8125,0,-406.615,9.93686,615.644,-474.097,-5.48627,609.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8126,0,-405.446,9.37539,615.746,-472.339,-5.95266,608.623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8127,0,-404.257,9.69295,615.869,-470.494,-6.25013,608.198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8128,0,-402.428,11.6876,615.997,-468.493,-6.57159,607.674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8129,0,-400.841,11.6974,616.177,-467.207,-7.33278,607.208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8130,0,-399.227,11.4994,616.646,-465.708,-7.7682,607.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8131,0,-397.2,12.5901,616.727,-463.935,-8.08338,606.765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8132,0,-395.246,13.8337,616.632,-461.754,-7.932,606.542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8133,0,-393.979,13.7179,616.534,-460.507,-8.55425,606.514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8134,0,-393.078,13.0415,616.59,-458.732,-8.33249,606.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8135,0,-390.683,13.3203,616.449,-457.143,-8.2448,605.976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8136,0,-388.218,13.5909,616.097,-455.174,-7.77218,606.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8137,0,-386.545,14.657,615.797,-453.903,-8.20306,606.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8138,0,-384.084,13.7007,615.227,-451.988,-7.44077,606.123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
