Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snake_88:Head_M1,,,Snake_88:M2,,,Snake_88:M3,,,Snake_88:M4,,,Snake_88:M5,,,Snake_88:M6,,,Snake_88:M7,,,Snake_88:M8,,,Snake_88:M9,,,Snake_88:Vent_M10,,,branch:Origin_End,,,branch:Target_End,,,branch:OriginOther,,,branch:Target_Other,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
73,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.217,-8.22265,273.012,283.035,28.3146,276.737,-816.722,-53.8968,287.374,679.035,57.9341,291.622
74,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.217,-8.22274,273.012,283.042,28.3192,276.716,-816.722,-53.8968,287.374,679.042,57.9463,291.626
75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.208,-8.26476,273.022,283.042,28.319,276.715,-816.722,-53.908,287.361,679.042,57.9446,291.632
76,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.216,-8.27963,272.995,283.037,28.3062,276.726,-816.705,-53.9438,287.357,679.042,57.9464,291.626
77,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.207,-8.31851,272.996,283.038,28.2997,276.735,-816.707,-53.9364,287.338,679.057,57.9796,291.628
78,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.218,-8.34025,273.022,283.04,28.289,276.71,-816.707,-53.9356,287.338,679.048,57.974,291.627
79,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.212,-8.38736,273.022,283.046,28.303,276.722,-816.725,-53.9733,287.345,679.052,57.9633,291.633
80,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.23,-8.45327,273.031,283.035,28.313,276.738,-816.722,-53.9827,287.364,679.037,57.9445,291.625
81,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.223,-8.49733,273.032,283.033,28.2845,276.732,-816.713,-54.0002,287.363,679.029,57.9262,291.629
82,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.218,-8.54737,273.05,283.037,28.2913,276.722,-816.727,-54.0434,287.377,679.044,57.9466,291.632
83,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.217,-8.60075,273.059,283.037,28.292,276.722,-816.728,-54.046,287.383,679.042,57.9466,291.626
84,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.229,-8.65368,273.051,283.029,28.289,276.735,-816.728,-54.0454,287.383,679.042,57.9591,291.626
85,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.248,-8.72058,273.051,283.036,28.2977,276.713,-816.727,-54.0438,287.377,679.043,57.9594,291.626
86,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.256,-8.79349,273.061,283.034,28.3151,276.729,-816.744,-54.0797,287.378,679.048,57.9738,291.627
87,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.249,-8.83748,273.061,283.029,28.2956,276.726,-816.744,-54.1521,287.375,679.025,57.9749,291.624
88,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.269,-8.85152,273.052,283.034,28.3146,276.729,-816.76,-54.1898,287.376,679.025,57.9748,291.624
89,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.268,-8.90372,273.061,283.018,28.3219,276.724,-816.752,-54.2075,287.375,679.025,57.9748,291.624
90,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.262,-8.95028,273.08,283.008,28.3246,276.724,-816.752,-54.2075,287.374,679.048,57.9738,291.627
91,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.247,-8.98224,273.072,283.026,28.3252,276.72,-816.75,-54.2268,287.381,679.049,57.9743,291.633
92,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.275,-9.00807,273.071,283.035,28.3154,276.737,-816.75,-54.2274,287.381,679.04,57.9554,291.632
