Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snake_88:Head_M1,,,Snake_88:M2,,,Snake_88:M3,,,Snake_88:M4,,,Snake_88:M5,,,Snake_88:M6,,,Snake_88:M7,,,Snake_88:M8,,,Snake_88:M9,,,Snake_88:Vent_M10,,,brancho:OriginEnd,,,brancho:TargetEnd,,,brancho:OriginOther,,,brancho:TargetOther,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
43,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.599,-98.6233,261.883,398.788,-48.4653,259.064,-882.664,-152.835,277.755,794.446,-16.1574,272.286
44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.635,-98.7244,261.895,398.787,-48.4593,259.061,-882.664,-152.835,277.755,794.446,-16.1574,272.286
45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.6,-98.6261,261.883,398.799,-48.4328,259.067,-882.664,-152.835,277.755,794.446,-16.1574,272.286
46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.605,-98.6378,261.888,398.797,-48.4313,259.062,-882.664,-152.835,277.755,794.446,-16.1574,272.286
47,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.603,-98.6325,261.873,398.798,-48.4347,259.069,-882.665,-152.836,277.761,794.446,-16.1574,272.286
48,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.597,-98.615,261.867,398.797,-48.4332,259.061,-882.665,-152.836,277.761,794.446,-16.1574,272.286
49,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.597,-98.6146,261.867,398.797,-48.4331,259.06,-882.665,-152.836,277.761,794.446,-16.1574,272.286
50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.605,-98.6363,261.872,398.797,-48.4331,259.061,-882.665,-152.836,277.761,794.446,-16.1574,272.286
51,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.605,-98.6369,261.873,398.785,-48.466,259.057,-882.665,-152.836,277.761,794.446,-16.1574,272.286
52,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.597,-98.6164,261.867,398.789,-48.4624,259.065,-882.665,-152.836,277.761,794.446,-16.1574,272.286
53,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.597,-98.6158,261.867,398.785,-48.4663,259.057,-882.665,-152.836,277.761,794.446,-16.1574,272.286
54,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.597,-98.6148,261.867,398.786,-48.4694,259.065,-882.665,-152.836,277.761,794.446,-16.1574,272.286
55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.597,-98.6161,261.867,398.788,-48.4674,259.063,-882.665,-152.836,277.761,794.446,-16.1574,272.286
56,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.597,-98.6161,261.867,398.786,-48.4694,259.065,-882.665,-152.836,277.761,794.446,-16.1574,272.286
57,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.633,-98.7151,261.879,398.799,-48.4914,259.061,-882.665,-152.836,277.761,794.446,-16.1574,272.286
58,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.597,-98.6189,261.867,398.799,-48.4903,259.063,-882.665,-152.836,277.761,794.446,-16.1574,272.286
59,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.599,-98.6218,261.883,398.799,-48.4916,259.061,-882.665,-152.836,277.761,794.444,-16.1799,272.288
60,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.597,-98.6162,261.868,398.799,-48.4916,259.061,-882.665,-152.836,277.761,794.431,-16.1856,272.289
61,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.605,-98.6363,261.872,398.788,-48.5192,259.061,-882.665,-152.836,277.76,794.439,-16.1767,272.286
62,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.594,-98.6147,261.865,398.788,-48.5198,259.061,-882.665,-152.836,277.761,794.424,-16.2045,272.288
