Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snake_85:Head_M1,,,Snake_85:M2,,,Snake_85:M3,,,Snake_85:M4,,,Snake_85:M5,,,Snake_85:M6,,,Snake_85:M7,,,Snake_85:M8,,,Snake_85:M9,,,Snake_85:Vent_M10,,,branchy:OriginEnd,,,branchy:TargetEnd,,,branchy:OriginOther,,,branchy:TargetOther,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
33513,0,-275.357,187.867,415.281,-261.435,145.873,370.019,-261.79,104.584,338.123,-316.137,67.0796,315.101,-365.87,80.3674,334.496,-439.803,96.7952,343.544,-504.719,59.3604,312.122,-553.671,53.0251,294.504,-575.957,96.9793,343.239,,,,-260.119,109.64,324.71,235.714,128.874,320.56,-934.39,75.271,339.559,408.673,133.528,330.763
33514,0,-275.257,188.095,415.399,-261.495,145.944,370.074,-261.397,104.813,338.068,,,,-365.737,80.1556,334.469,-439.706,96.3866,343.571,-504.65,59.4434,312.444,-553.525,52.8702,294.269,-575.862,96.6226,343.282,,,,-260.107,109.645,324.649,235.711,128.87,320.56,-934.389,75.2746,339.558,408.699,133.433,330.766
33515,0,-275.24,188.168,415.478,-261.542,145.863,370.106,-260.967,105.037,338.116,,,,-365.633,80.0508,334.467,-439.559,96.192,343.584,-504.508,59.4268,312.797,-553.454,52.7713,294.231,-575.784,96.2791,343.3,,,,-260.111,109.688,324.663,235.714,128.874,320.56,-934.393,75.2375,339.564,408.673,133.527,330.763
33516,0,-275.24,188.26,415.597,-261.6,146.344,369.988,-260.337,105.169,338.109,-315.484,67.9829,315.635,-365.549,80.0035,334.464,-439.195,96.7315,343.547,-504.314,59.5589,312.961,-553.406,52.6507,294.182,-575.607,95.9958,343.254,,,,-260.11,109.689,324.664,235.714,128.874,320.56,-934.424,75.5886,339.551,408.674,133.518,330.753
33517,0,-274.894,188.175,415.813,-261.667,145.811,370.128,,,,-315.301,68.2791,315.95,-365.466,80.0496,334.412,-438.679,97.4812,343.477,-504.275,59.8067,312.99,-553.303,52.4331,293.935,-575.605,95.5465,343.046,,,,-260.117,109.68,324.648,235.714,128.874,320.56,-934.434,75.6137,339.58,408.697,133.443,330.751
33518,0,-274.376,188.36,415.591,-261.844,146.127,369.972,,,,-315.163,68.4969,316.175,-365.17,80.1628,333.984,-438.381,97.7305,343.414,-504.274,59.8046,313.24,-553.211,52.2487,293.746,-575.356,95.4726,343.292,,,,-260.1,109.654,324.665,235.707,128.868,320.538,-934.413,75.6822,339.54,408.675,133.516,330.777
33519,0,-273.741,188.146,415.378,-262.034,145.392,370.126,,,,-315.133,68.5739,316.345,-365.175,80.0524,333.992,-438.26,97.6441,343.415,-504.21,59.9276,313.516,-553.047,52.159,293.416,-575.125,95.3595,343.356,,,,-260.1,109.653,324.666,235.711,128.874,320.545,-934.441,75.7055,339.532,408.674,133.517,330.776
33520,0,-273.536,188.174,415.289,-262.354,144.988,370.159,,,,-315.156,68.6296,316.446,-365.287,80.1325,333.973,-438.267,96.9672,343.49,-504.189,59.978,313.881,-552.96,51.9029,293.157,-575.073,95.116,343.333,,,,-260.104,109.651,324.683,235.708,128.87,320.545,-934.413,75.6901,339.539,408.672,133.528,330.762
33521,0,-273.461,188.233,415.294,-262.417,145.692,370.141,,,,-315.274,68.3773,316.664,-365.219,80.0546,333.918,-438.252,96.1599,343.561,-504.161,59.8934,314.222,-552.948,51.7729,293.105,-575.032,94.8201,343.309,,,,-260.1,109.654,324.665,235.711,128.874,320.545,-934.413,75.6861,339.539,408.699,133.493,330.773
33522,0,-273.22,188.602,415.36,-262.6,145.225,370.393,,,,-315.319,68.2066,316.813,-365.134,79.9611,333.873,-437.933,96.5215,343.479,-504.103,59.8948,314.361,-552.83,51.7408,293.031,-575.04,94.5708,343.283,,,,-260.11,109.642,324.667,235.833,128.777,320.44,-934.329,75.254,339.556,408.662,133.56,330.758
33523,0,-272.465,188.456,415.258,-263.064,145.793,370.568,,,,-315.306,68.2245,317.018,-365.05,79.7723,333.865,-437.774,96.9868,343.59,-504.096,60.0436,314.395,-552.727,51.6567,292.981,-575.049,94.3328,343.254,,,,-260.111,109.641,324.667,235.712,128.873,320.544,-934.411,75.6802,339.536,408.663,133.551,330.771
33524,0,-271.96,188.255,415.241,-263.301,146.211,371.01,,,,-315.274,68.4144,317.192,-364.937,79.5251,333.79,-437.576,97.0656,343.72,-504.053,60.1758,314.51,-552.607,51.6104,292.901,-575.009,94.1162,343.216,,,,-260.11,109.641,324.667,235.706,128.869,320.538,-934.429,75.7237,339.563,408.691,133.519,330.762
33525,0,-271.759,188.278,415.408,-263.619,145.855,370.977,,,,-315.243,68.5095,317.373,-364.399,78.7309,333.515,-437.365,97.1566,343.869,-503.824,60.6702,314.742,-552.53,51.5769,292.877,-575.092,93.7817,343.087,,,,-260.093,109.616,324.685,235.835,128.779,320.434,-934.424,75.5977,339.548,408.718,133.43,330.756
33526,0,-271.402,189.255,415.402,-264.117,145.255,371.215,,,,-315.232,68.5286,317.515,-364.779,78.7582,333.434,-436.892,97.4039,343.63,-503.744,60.8032,315.016,-552.409,51.676,292.808,-575.039,93.6071,343.128,,,,-260.099,109.607,324.669,235.715,128.873,320.559,-934.424,75.5913,339.547,408.673,133.527,330.762
33527,0,-271.216,189.319,415.674,-264.192,145.257,371.43,,,,-315.128,68.683,317.643,-364.659,78.8994,333.14,-436.716,97.8815,343.543,-503.694,60.7855,315.314,-552.343,51.7918,292.685,-574.738,93.6122,343.116,,,,-260.093,109.616,324.685,235.838,128.782,320.455,-934.424,75.5883,339.55,408.675,133.52,330.776
33528,0,-270.534,189.248,415.692,-264.767,145.304,371.634,-259.802,105.076,338.402,-315.089,68.7331,317.684,-364.535,78.8307,333.049,-436.633,98.1693,343.493,-503.676,60.6407,315.605,-552.21,51.7869,292.674,-574.728,93.429,343.122,,,,-260.114,109.601,324.703,235.852,128.803,320.449,-934.41,75.6855,339.533,408.674,133.516,330.776
33529,0,-270.047,189.517,415.668,-265.078,145.78,371.992,-259.857,105.096,338.445,-315.089,68.7304,317.719,-364.612,77.9703,333.158,-436.348,97.8808,343.563,-503.579,60.7534,315.66,-552.064,51.9434,292.606,-574.495,93.4126,343.173,,,,-260.087,109.571,324.728,235.851,128.809,320.455,-934.36,75.2678,339.558,408.694,133.498,330.788
33530,0,-269.84,189.811,415.792,-265.331,146.025,372.32,-259.893,105.168,338.5,-315.09,68.7242,317.757,-364.402,78.1931,332.777,-436.157,97.3672,343.694,-503.402,61.0135,315.771,-551.879,51.9913,292.584,-574.344,93.3056,343.141,,,,-260.104,109.548,324.717,235.851,128.809,320.455,-934.36,75.2466,339.564,408.673,133.53,330.762
33531,0,-269.568,190.205,415.923,-265.654,145.918,372.627,-259.965,105.292,338.642,-315.091,68.7206,317.758,-364.215,78.44,332.353,-436.039,96.9367,343.933,-503.272,61.1387,315.917,-551.676,52.055,292.559,-574.262,93.2826,343.124,,,,-260.11,109.563,324.739,235.727,128.902,320.56,-934.349,75.3548,339.544,408.693,133.508,330.776
33532,0,-269.479,190.426,415.938,-266.091,145.741,373.043,,,,-315.091,68.7216,317.757,-364.108,78.3204,332.289,-435.753,96.6527,343.871,-503.098,61.2199,316.332,-551.54,51.9255,292.566,-574.112,93.2522,343.06,,,,-260.104,109.553,324.723,235.85,128.81,320.455,-934.351,75.34,339.547,408.716,133.434,330.751
33533,0,-269.051,190.998,416.011,-266.489,145.839,373.239,,,,-315.091,68.723,317.757,-363.911,77.8422,331.79,-435.513,96.8755,343.588,-503.023,61.5309,316.539,-551.362,51.6201,292.601,-574.065,93.1722,343.053,,,,-260.104,109.552,324.723,235.852,128.808,320.454,-934.379,75.0732,339.578,408.692,133.519,330.762
33534,0,-268.847,191.187,416.199,-266.65,146.127,373.4,,,,-315.094,68.715,317.723,-363.762,77.5685,331.653,-435.051,96.9707,343.696,-503.023,61.5253,316.785,-551.25,51.482,292.721,-574.127,93.0865,343.157,,,,-260.116,109.534,324.721,235.727,128.902,320.56,-934.351,75.3274,339.549,408.715,133.439,330.753
33535,0,-268.662,191.283,416.304,-266.81,146.396,373.712,,,,-315.072,68.6583,317.729,-363.688,77.3871,331.574,-434.724,97.0387,343.735,-502.888,61.4654,317.02,-551.172,51.4435,292.743,-574.113,92.9869,343.163,,,,-260.105,109.5,324.724,235.722,128.899,320.56,-934.462,75.4126,339.606,408.697,133.5,330.755
33536,0,-268.746,191.22,416.326,-267.071,146.347,374.031,,,,-315.099,68.6926,317.726,-363.645,77.2778,331.494,-434.466,97.1609,343.814,-502.743,61.4524,317.191,-551.116,51.3514,292.763,-574.125,92.8992,343.118,,,,-260.105,109.499,324.724,235.726,128.902,320.56,-934.421,75.0575,339.585,408.692,133.522,330.762
33537,0,-268.475,191.945,416.531,-267.578,146.138,374.306,,,,-315.095,68.7148,317.722,-363.601,77.2714,331.412,-434.21,97.1645,343.793,-502.652,61.4328,317.523,-551.058,51.197,292.793,-574.151,92.7845,343.13,,,,-260.105,109.499,324.724,235.851,128.81,320.455,-934.39,75.0302,339.589,408.699,133.49,330.756
