Trial,ID,gsm,gsr,gs_bin,TNorm,x_torq,y_torq,res,hpt,svl,mass
253,85,0.394390959,54.39875296,55,0.099897692,0.001493362,0.036877977,0.036908201,80.67586529,0.725,0.052
252,85,0.394489798,54.41238594,55,0.11905334,-0.003629354,0.043835458,0.043985447,88.26564942,0.725,0.052
250,85,0.400877991,55.29351595,55,0.079860269,0.007692043,0.029248242,0.030242804,63.79542278,0.725,0.0533
249,85,0.363357519,50.11827851,50,0.092074487,-0.001582681,0.034832348,0.034868286,84.74598121,0.725,0.0533
248,85,0.365767895,50.45074417,50,0.027127818,0.002258779,0.010021814,0.01027321,39.45175585,0.725,0.0533
247,85,0.3628419,50.04715862,50,0.105432906,0.00388675,0.039737442,0.039927072,88.77405623,0.725,0.0533
244,85,0.327034163,45.10816042,45,0.014669684,0.002228616,0.00508874,0.005555358,31.11566305,0.725,0.0533
235,90,0.425248704,58.6549937,60,0.055973039,0.005480918,0.021257175,0.021952402,52.87221363,0.725,0.0552
233,90,0.355778446,49.07288917,50,0.108164083,0.009003491,0.041455067,0.042421521,90.13979873,0.725,0.0552
225,90,0.423664861,58.43653255,60,0.070262118,0.007167336,0.025261468,0.026258569,60.28477972,0.725,0.0526
223,90,0.423928302,58.47286923,60,0.02688383,0.005884485,0.008143535,0.010047105,35.54180077,0.725,0.0526
222,90,0.39194578,54.06148686,55,0.028265015,0.005669497,0.008912902,0.010563286,40.19176061,0.725,0.0526
221,90,0.391967228,54.06444531,55,0.058214105,0.011529117,0.018449954,0.02175595,56.10713596,0.725,0.0526
220,90,0.392212536,54.09828086,55,0.072602953,0.011450261,0.024599036,0.027133393,64.81293476,0.725,0.0526
219,90,0.350214597,48.30546171,50,0.061618406,0.003587472,0.02274706,0.023028216,67.07753745,0.725,0.0526
217,90,0.356032701,49.10795878,50,0.093271963,-0.006571066,0.034232919,0.034857878,81.85818456,0.725,0.0526
216,90,0.311622415,42.98240201,45,0.059813114,0.003348643,0.022101294,0.022353536,77.35520184,0.725,0.0526
214,90,0.309953426,42.75219664,45,0.014655853,0.001856727,0.005152922,0.005477229,36.56664792,0.725,0.0526
211,90,0.270775403,37.34833139,35,0.015138046,0.002726751,0.004956956,0.005657436,48.2774878,0.725,0.0526
208,88,0.692148992,72.17403464,70,0.027858337,0.006352725,0.024507856,0.025317822,30.02847152,0.959,0.0967
206,88,0.693122863,72.27558534,70,0.012857245,0.005816601,0.010134116,0.01168474,20.75113625,0.959,0.0967
204,88,0.619018064,64.54828611,65,0.021792553,0.011493755,0.016279505,0.019928088,25.18741858,0.959,0.0973
