Trial,Date,ID,Mass,SVL,Spacings,LF,DP,Notes,Temp,Humidity,Behavior_guess,Attempted_gs_svl
268,27-Oct-16,85,51.4,72.5,"1.5, 8, 8, 8, 8, 8, 8, 8, 7.5, 7.5",16866,16476,,,,Not cantilever,80
269,27-Oct-16,85,51.4,72.5,"1.5, 8, 8, 8, 8, 8, 8, 8, 7.5, 7.5",18619,18072,,,,Not cantilever,80
270,27-Oct-16,85,51.4,72.5,"1.5, 8, 8, 8, 8, 8, 8, 8, 7.5, 7.5",23700,23207,,,,Not cantilever,80
271,27-Oct-16,85,51.4,72.5,"1.5, 8, 8, 8, 8, 8, 8, 8, 7.5, 7.5",23039,22658,,,,Not cantilever,85
272,27-Oct-16,85,51.4,72.5,"1.5, 8, 8, 8, 8, 8, 8, 8, 7.5, 7.5",6305,5690,,,,Not cantilever,85
274,28-Oct-16,85,52,72.5,"1.5, 8, 8, 8, 8, 8, 8, 8, 7.5, 7.5",7417,7119,,,,Not cantilever,85
275,28-Oct-16,85,52,72.5,"1.5, 8, 8, 8, 8, 8, 8, 8, 7.5, 7.5",24393,N/A,,,,Not cantilever,90
276,28-Oct-16,85,52,72.5,"1.5, 8, 8, 8, 8, 8, 8, 8, 7.5, 7.5",19160,N/A,,,,Not cantilever,95
277,28-Oct-16,85,52,72.5,"1.5, 8, 8, 8, 8, 8, 8, 8, 7.5, 7.5",14141,N/A,,,,Not cantilever,100
281,28-Oct-16,85,52,72.5,"1.5, 8, 8, 8, 8, 8, 8, 8, 7.5, 7.5",67121,N/A,,,,Not cantilever,105
282,28-Oct-16,85,52,72.5,"1.5, 8, 8, 8, 8, 8, 8, 8, 7.5, 7.5",32087,N/A,,,,Not cantilever,110
283,28-Oct-16,85,52,72.5,"1.5, 8, 8, 8, 8, 8, 8, 8, 7.5, 7.5",23774,N/A,,,,Not cantilever,115
289,1-Nov-16,85,51.4,72.5,"1.5, 8, 8, 8, 8, 8, 8, 8, 7.5, 7.5",67352,N/A,,,,Not cantilever,120
29,24-Aug-16,90,62.6,72.5,"1,8,8,8,8,8,9,5.5,7,7",751,714,,,,Not cantilever,35
30,25-Aug-16,90,62.6,72.5,"1,8,8,8,8,8,9,5.5,7,7",2833,2790,,,,Not cantilever,35
31,26-Aug-16,90,62.6,72.5,"1,8,8,8,8,8,9,5.5,7,7",6814,N/A,,,,Cantilever,35
32,27-Aug-16,90,62.6,72.5,"1,8,8,8,8,8,9,5.5,7,7",346,N/A,,,,Cantilever,43
33,28-Aug-16,90,62.6,72.5,"1,8,8,8,8,8,9,5.5,7,7",1237,N/A,,,,Cantilever,43
211,7-Oct-16,90,52.6,72.5,"1,9,9,8.5,9,9.5,8.5,6,6,6",14320,14179,,,,Not cantilever,38
212,7-Oct-16,90,52.6,72.5,"1,9,9,8.5,9,9.5,8.5,6,6,6",1631,N/A,,,,Cantilever,38
213,7-Oct-16,90,52.6,72.5,"1,9,9,8.5,9,9.5,8.5,6,6,6",2114,N/A,,,,Cantilever,38
214,7-Oct-16,90,52.6,72.5,"1,9,9,8.5,9,9.5,8.5,6,6,6",1233,1175,,,,Not cantilever,44
215,7-Oct-16,90,52.6,72.5,"1,9,9,8.5,9,9.5,8.5,6,6,6",5711,N/A,,,,Cantilever,44
216,7-Oct-16,90,52.6,72.5,"1,9,9,8.5,9,9.5,8.5,6,6,6",15749,7150,,,,Not cantilever,44
217,7-Oct-16,90,52.6,72.5,"1,9,9,8.5,9,9.5,8.5,6,6,6",8714,8660,,,,Not cantilever,50
233,10-Oct-16,90,55.2,72.5,"1,9,9,8.5,9,9.5,8.5,6,6,6",4286,4252,,,,Not cantilever,50
219,7-Oct-16,90,52.6,72.5,"1,9,9,8.5,9,9.5,8.5,6,6,6",35466,27802,,,,Not cantilever,50
220,7-Oct-16,90,52.6,72.5,"1,9,9,8.5,9,9.5,8.5,6,6,6",13757,13658,,,,Not cantilever,56
221,7-Oct-16,90,52.6,72.5,"1,9,9,8.5,9,9.5,8.5,6,6,6",1644,1346,,,,Not cantilever,56
222,7-Oct-16,90,52.6,72.5,"1,9,9,8.5,9,9.5,8.5,6,6,6",6600,6423,,,,Not cantilever,56
223,7-Oct-16,90,52.6,72.5,"1,9,9,8.5,9,9.5,8.5,6,6,6",1540,1078,,,,Not cantilever,60
225,7-Oct-16,90,52.6,72.5,"1,9,9,8.5,9,9.5,8.5,6,6,6",16391,16219,,,,Not cantilever,60
